Title,Artist,Count
Faint,Linkin Park,182772922
Stranglehold,Ted Nugent,78678085
Sinner,Deaf Havana,5046131
A Horse with No Name,America,226450201
Live And Let Die,Guns N' Roses,74350970
You Don't Get Me High Anymore,Three Days Grace,11729000
Born To Be My Baby,Bon Jovi,29357120
"Steady, as She Goes",The Raconteurs,92118068
Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,102575925
Wall Of Glass,Liam Gallagher,47193920
The Wind Cries Mary,Jimi Hendrix,46995119
Cape Of Our Hero,Volbeat,30942601
Angie,The Rolling Stones,124667264
Breakfast In America - Remastered,Supertramp,91097209
Don't Stop Me Now - Remastered,Queen,715886511
Dose,Avenged Sevenfold,2817079
Hate To Say I Told You So,The Hives,84007789
Where Is My Mind?,Pixies,233013379
Free Bird,Lynyrd Skynyrd,210195852
The Lonesome Boatman,Dropkick Murphys,5999839
Gravity,Papa Roach,47316438
"You're Gonna Go Far, Kid",The Offspring,317712126
I Will Wait,Mumford & Sons,353116147
I Sat By The Ocean,Queens of the Stone Age,61917018
All These Things That I've Done,The Killers,150942349
Sham Pain,Five Finger Death Punch,47591902
Out of It,The Story So Far,7723385
Smooth (feat. Rob Thomas),Santana,142078723
DEVIL,Shinedown,41581455
Nico and the Niners,Twenty One Pilots,113504347
Chalk Outline,Three Days Grace,31097815
Born to Run,Bruce Springsteen,136182965
With Or Without You - Remastered,U2,366763204
Sound of Madness,Shinedown,100882000
Naive,The Kooks,277764208
Ramblin' Man,The Allman Brothers Band,94924333
Bad Company,Five Finger Death Punch,140996435
Far Away,Nickelback,127013067
Chasing Cars,Snow Patrol,522706484
Inside the Fire,Disturbed,64234718
Grey Goose,Carousel Kings,4570416
Blurry,Puddle Of Mudd,101580715
White Rabbit,Egypt Central,51785629
All Day and All of the Night,The Kinks,92029669
Run,Foo Fighters,71017884
Scars,I Prevail,53776915
"Mama, I'm Coming Home",Ozzy Osbourne,77954702
Psychosocial,Slipknot,210301468
Have You Ever Seen The Rain,Creedence Clearwater Revival,409340174
TalkTalk,A Perfect Circle,13815413
The Boys Of Summer,Don Henley,161113161
Song 2 - 2012 Remaster,Blur,296791808
Shout at the Devil,Mötley Crüe,51556972
Times Like These,Foo Fighters,75992978
Last Young Renegade,All Time Low,23780316
Barracuda,Heart,152499750
Found What I've Been Looking For,Tom Grennan,57095437
The Show Must Go On - Remastered 2011,Queen,170418948
Run To You,Bryan Adams,53166503
Crying Over You,Dead by April,11282573
You’re The Best Thing About Me,U2,36542571
Paralyzer,Finger Eleven,74921032
For What It's Worth,Buffalo Springfield,193045040
Suit And Jacket,Judah & the Lion,38782474
American Idiot,Green Day,322565764
Let You Down,Seether,18451145
California Dreaming,Hollywood Undead,21392580
Wolf,Highly Suspect,10419599
Patience,Guns N' Roses,24166884
Break,Three Days Grace,47504857
We're Not Gonna Take It,Twisted Sister,130377856
I'm Just a Kid,Simple Plan,76780636
Animals,Nickelback,60076576
Fell On Black Days,Soundgarden,60304653
Woman,Wolfmother,65088918
Wanted Dead Or Alive,Bon Jovi,146171956
Zombie,Bad Wolves,131631694
Where's the Revolution,Depeche Mode,17705198
Jack & Diane,John Mellencamp,114554821
No Halo,Sorority Noise,5323289
Me and Bobby McGee,Janis Joplin,92407003
Little Dark Age,MGMT,35812178
Dark Necessities,Red Hot Chili Peppers,215489210
Monster,Hands Like Houses,4996492
The Thunder Rolls - Cover,All That Remains,14562786
I Stand Alone,Godsmack,107771175
Runnin' Wild,Airbourne,31185604
Angel,Theory of a Deadman,77329831
Hard To Handle,The Black Crowes,57338541
Still Breathing,Green Day,60828589
Let Me Live / Let Me Die,Des Rocs,26696937
Fell in Love with a Girl,The White Stripes,81655021
Go With The Flow,Queens of the Stone Age,60383314
Keep on Loving You - Remastered,REO Speedwagon,109645344
Silvertongue,Young the Giant,50100504
Love Is Mystical,Cold War Kids,48556392
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,75016527
Counting Stars,OneRepublic,926313420
Over You,Daughtry,76122513
Footsteps,Pop Evil,32045882
The Stroke - Remastered,Billy Squier,42380577
Black Butterflies and Déjà Vu,The Maine,20725136
Still Counting,Volbeat,143175435
So Cold - Remix,Breaking Benjamin,62038033
Bitter Sweet Symphony,The Verve,400665925
Higher Ground - Remastered,Red Hot Chili Peppers,57885863
Wild Horses,The Rolling Stones,86495466
Higher,Creed,73284515
Piece of My Heart,Big Brother & The Holding Company,95181122
Cult of Personality,Living Colour,43594980
Lucky One (feat. K.Flay),Tom Morello,3139963
My Own Grave,As I Lay Dying,18159597
Painkiller,Three Days Grace,68023481
Welcome to the Family,Avenged Sevenfold,90658573
House On Fire,Rise Against,17663530
Start Me Up - Remastered,The Rolling Stones,214711129
American Dreams,Papa Roach,27007103
Super Natural,Turnover,18015099
Crazy Little Thing Called Love - Remastered 2011,Queen,216990282
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,109542707
Every Step That I Take (feat. Portugal. The Man & Whethan),Tom Morello,7042523
Silence Speaks (feat. Oli Sykes),While She Sleeps,26389409
Word Up!,Korn,57158235
Amputation,The Jesus and Mary Chain,5241944
Re-Education (Through Labor),Rise Against,35784710
Better Off Without You,Mallory Knox,4715770
Youth,Hundredth,2638899
'99',Barns Courtney,20273432
Burn it to the Ground,Nickelback,146217667
You're My Best Friend - Remastered 2011,Queen,132976640
The Come Up,Shaman's Harvest,2990383
Send Me An Angel,Scorpions,68033924
Quarter Past Midnight,Bastille,82408796
Walk On Water,Thirty Seconds To Mars,91252064
Betray And Degrade,Seether,14713439
Snow (Hey Oh),Red Hot Chili Peppers,460260982
Bad Girlfriend,Theory of a Deadman,87912835
We Built This City,Starship,190456189
Monkey Wrench,Foo Fighters,81496006
World Away,Tonight Alive,15631333
Symphony Of Destruction,Megadeth,89704963
Toxicity,System Of A Down,287065057
Misery,blink-182,102313891
The Hell Song,Sum 41,75361064
Misery Business,Paramore,242981211
Carrie,Europe,73046930
One of Us,New Politics,13497112
Cum on Feel the Noize,Quiet Riot,125835408
In Too Deep,Sum 41,178966390
Lonely Boy,The Black Keys,222554438
One Last Breath,Creed,90481236
High Enough,K.Flay,28356237
Show Me How to Live,Audioslave,125385900
Four Out Of Five,Arctic Monkeys,60803656
Freak On a Leash,Korn,149545884
American Girl,Tom Petty and the Heartbreakers,109805846
Babe I'm Gonna Leave You - 1990 Remaster,Led Zeppelin,66880585
Party On Apocalypse,New Found Glory,4798124
Tom Sawyer,Rush,104364181
Should I Stay or Should I Go - Remastered,The Clash,372967276
Testify,Rage Against The Machine,58840066
Something Wonderful,Seaway,5017000
All My Life,Foo Fighters,132847749
Come On To Me,Paul McCartney,10927385
Hotel California - 2013 Remaster,Eagles,530680399
Icky Thump,The White Stripes,81659698
Fight For Your Right,Beastie Boys,78247431
White Rabbit,Jefferson Airplane,101945225
Talking to Myself,Linkin Park,64334202
Good Times Bad Times - 1993 Remaster,Led Zeppelin,133897552
Saturday Sun,Vance Joy,100024086
Aerials,System Of A Down,142470204
Who Are You,The Who,89167051
Fly Like An Eagle,Steve Miller Band,56754093
Crossroads - Live,Cream,112008944
"I Don't Want to Miss a Thing - From the Touchstone film, 'Armageddon'",Aerosmith,398745912
Can't You See,The Marshall Tucker Band,76356979
Hungry Heart,Bruce Springsteen,79413203
Last Nite,The Strokes,253157681
By the Way,Red Hot Chili Peppers,175300850
Better Man - Remastered,Pearl Jam,67006231
Must Be Nice,Nickelback,15337728
Down On The Corner,Creedence Clearwater Revival,140131085
Helter Skelter,Rob Zombie,4181541
Pain,Three Days Grace,99352817
"Another Brick in the Wall, Pt. 2",Pink Floyd,305227534
Notorious,Adelitas Way,16413861
The Passenger,Iggy Pop,163147752
Are You Gonna Be My Girl,Jet,220221143
Wasted Years - 1998 Remaster,Iron Maiden,48856937
Born in the U.S.A.,Bruce Springsteen,163502815
Joker And The Thief,Wolfmother,100045585
You Really Got Me - 2015 Remaster,Van Halen,47730794
Pinball Wizard,The Who,83664520
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,10841439
Through Glass,Stone Sour,173901947
Numb / Encore,JAY Z,419724898
Warrior,Disturbed,55266139
Absolute Zero,Stone Sour,69646622
Take The Money And Run,Steve Miller Band,51692242
On Melancholy Hill,Gorillaz,183472572
Raining,The Front Bottoms,4446226
Always,Bon Jovi,168772368
Sex & Candy,Marcy Playground,94378163
Radar Love,Golden Earring,57627083
Highway Star - Remastered 2012,Deep Purple,75276316
Alone,I Prevail,31995507
Don't Stop Believin',Journey,728058689
Ruby,Kaiser Chiefs,112871441
My Own Summer (Shove It),Deftones,53877126
School's Out,Alice Cooper,54240316
Midnight Crusade,Dance Gavin Dance,10848208
Burning Heart - From 'Rocky IV' Soundtrack,Survivor,75687650
Numb,Linkin Park,560761690
Only Us,Thrice,4450954
The Dark Side,Muse,26053267
More Than a Feeling,Boston,294428599
Walking The Wire,Imagine Dragons,136668706
Had Enough,Lower Than Atlantis,11830670
River,Bishop Briggs,192766678
Sorry,Nothing But Thieves,45815747
Streets of Philadelphia - Single Edit,Bruce Springsteen,108941475
Sea Change,Thrice,5959504
Go Your Own Way - 2004 Remaster,Fleetwood Mac,334057240
Hunger,Florence + The Machine,75659803
Until The World Goes Cold,Trivium,38703841
The Spirit Of Radio,Rush,34008951
Midnight Rider,The Allman Brothers Band,80096735
Piano Man,Billy Joel,314062672
Maybellene i Hofteholder,Volbeat,38431965
Carry on Wayward Son,Kansas,242942758
Yellow Ledbetter,Pearl Jam,94088817
Good Christian Man,Have Mercy,2335025
Renegades Of Funk,Rage Against The Machine,65115446
Champagne Supernova - Remastered,Oasis,154991757
Paradise,Broadside,4600499
In The End,Black Veil Brides,76797338
Bad Medicine,Bon Jovi,55277087
Somebody Told Me,The Killers,289926805
The One You Know,Alice In Chains,7597372
Teenagers,My Chemical Romance,258571295
Painting (Masterpiece),Lewis Del Mar,36752201
Coming Undone,Korn,98453306
Satellite,Rise Against,94932067
Song #3,Stone Sour,50811666
Just Like You,Three Days Grace,53481078
Who Do You Trust?,Papa Roach,12245151
Another One Bites The Dust - Remastered 2011,Queen,665400445
I Am Machine,Three Days Grace,84301159
Blood,Breaking Benjamin,30089808
Scars,Papa Roach,102789802
Panama - 2015 Remaster,Van Halen,113974333
Blaze Of Glory - From 'Young Guns II' Soundtrack,Jon Bon Jovi,54749109
Sex on Fire,Kings of Leon,512432362
The Devil's Bleeding Crown,Volbeat,85219034
Cloud 9,Jamiroquai,23490006
Fluorescent Adolescent,Arctic Monkeys,294070241
Honky Tonk Women - Mono Version,The Rolling Stones,65504144
I Write Sins Not Tragedies,Panic! At The Disco,387839888
Open Arms,Journey,84225109
Machinehead - Remastered,Bush,48520305
Cryin',Aerosmith,101113941
Semi-Charmed Life,Third Eye Blind,201705549
London Calling - Remastered,The Clash,125178694
The Zephyr Song,Red Hot Chili Peppers,90103303
Hearts On Fire,Hammerfall,28893429
Black Magic,The Amazons,14297400
Your Love,The Outfield,206489400
Paranoid,Black Sabbath,278173316
How You Remind Me,Nickelback,338187935
Brothers In Arms,Dire Straits,105724282
Holy Diver,Killswitch Engage,54842195
Cocaine,Eric Clapton,191497714
What's My Age Again?,blink-182,261380507
Beast Of Burden - Remastered,The Rolling Stones,148387864
Dream On,Aerosmith,333345103
Wait and Bleed,Slipknot,143787730
Die MF Die,Dope,63492282
American Attraction,Anti-Flag,9065420
Feels Like Summer,Weezer,42711935
Somewhere I Belong,Linkin Park,146413514
Ace of Spades,Motörhead,166953765
I Want to Know What Love Is - 1999 Remaster,Foreigner,243734053
One Way Or Another - Remastered,Blondie,98279055
Welcome To The Jungle,Guns N' Roses,417099808
I Can't Quit,The Vaccines,18903269
Someday,Nickelback,77087756
Walk On the Wild Side,Lou Reed,190348193
Way Down We Go,KALEO,309573228
Cherry Pie,Warrant,82876736
The Doomed,A Perfect Circle,22359452
The Diary of Jane - Single Version,Breaking Benjamin,231345656
The Scientist,Coldplay,759009328
Fake It,Seether,152126535
Do Your Worst,Rival Sons,14845964
My Little RnR,Danko Jones,6753016
Click Click Boom,Saliva,93085337
Cat Scratch Fever,Ted Nugent,27217621
My Curse,Killswitch Engage,91245548
Hail to the King,Avenged Sevenfold,215030319
Life Itself,Glass Animals,66205372
California Dreamin' - Single Version,The Mamas & The Papas,201095046
Is There Anybody out There?,Machine Head,27606184
Pride (In The Name Of Love) - Remastered 2009,U2,79432849
You're The One,Greta Van Fleet,20439866
Something Human,Muse,25581587
Such A Simple Thing,Ray LaMontagne,59505698
Silvery Sometimes (Ghosts),The Smashing Pumpkins,6138402
Little Sister,Queens of the Stone Age,36570292
Porn Star Dancing,My Darkest Days,60635871
Beds Are Burning,Midnight Oil,91142158
The Trooper - 1998 Remastered Version,Iron Maiden,131417209
Crawling,Linkin Park,178942518
Karma Police,Radiohead,183771621
Square Hammer,Ghost,54352421
I Want To Break Free - Single Remix,Queen,3386974
Rockstar,Nickelback,193568777
No More Tears,Ozzy Osbourne,40390903
Them Bones,Alice In Chains,38319048
these are my friends,lovelytheband,16440109
Little Talks,Of Monsters and Men,433378584
All I Want,A Day To Remember,76713280
Judas,Fozzy,20598156
Lullaby,Nickelback,79938169
Awake,Godsmack,50797206
There's A Reason Why (I Never Returned Your Calls),Blossoms,19991838
Last Resort,Papa Roach,436004598
Hey Joe,Jimi Hendrix,123925322
Tears Don't Fall,Bullet For My Valentine,147733753
Fix You,Coldplay,566652675
Good Riddance (Time of Your Life),Green Day,258868988
War Is Killing Us All,Righteous Vendetta,5277227
She's Out Of Her Mind,blink-182,78709789
Magic Carpet Ride,Steppenwolf,96804255
Ill Ray (The King),Kasabian,24147666
Kickstart My Heart,Mötley Crüe,163913061
Kryptonite,3 Doors Down,356004216
To Be With You - 2010 Remastered Version,Mr. Big,120856627
Stricken,Disturbed,136544376
Tuesday's Gone,Lynyrd Skynyrd,48852059
More Than Words,Extreme,229906447
Out In The Fields,Gary Moore,13358991
Feed The Machine,Nickelback,28511134
Don't Come Down,The Maine,17617300
Heaven,PVRIS,14545370
The Number Of The Beast - 1998 Remastered Version,Iron Maiden,97422454
Over and Over Again,The Used,5985654
Trouble,Five Finger Death Punch,29522056
Wonderful Tonight,Eric Clapton,140981940
Up Down (feat. Florida Georgia Line),Morgan Wallen,110590195
One More Light,Linkin Park,149509516
The Sound of Silence,Disturbed,349592248
What Went Down,Foals,51267245
Iris,The Goo Goo Dolls,514332915
Black Water,The Doobie Brothers,48715990
Baba O'Riley,The Who,223037753
All Along the Watchtower,Jimi Hendrix,296603516
American Pie,Don McLean,230842294
Run to the Hills - 1998 Remastered Version,Iron Maiden,141178523
When I'm Gone,3 Doors Down,92236265
Dani California,Red Hot Chili Peppers,272315884
Walk,Foo Fighters,101455292
This Is War,Thirty Seconds To Mars,106642978
What I Got,Sublime,203299802
Halo,Boston Manor,7250215
Rag Doll,Aerosmith,25412982
Somebody That I Used To Know,Gotye,564376459
Up Around The Bend,Creedence Clearwater Revival,90833408
Crazy Train,Ozzy Osbourne,217058954
Moth Into Flame,Metallica,57957127
Summer Of '69,Bryan Adams,377532559
Bad Behavior,The Maine,14630061
Sharp Dressed Man - 2008 Remaster,ZZ Top,160724078
Interstate Love Song,Stone Temple Pilots,135938180
Know Your Enemy,Rage Against The Machine,43464383
Cochise,Audioslave,80528064
R U Mine?,Arctic Monkeys,355361076
Bulletproof,Godsmack,41043679
Gimme Shelter,The Rolling Stones,235398028
Alive - Chris Lord-Alge Mix,P.O.D.,58894439
No One Knows,Queens of the Stone Age,153607905
The Unforgiven,Metallica,185541784
The Void,Parkway Drive,20014636
Sultans of Swing,Dire Straits,401657778
Before I Forget,Slipknot,173190573
"Hook, Line & Sinker",Royal Blood,25413255
Radio Ga Ga - Remastered,Queen,173374042
You'll Be Fine,Palaye Royale,8889199
Gives You Hell,The All-American Rejects,223388590
One For The Money,Escape the Fate,56229675
Rockin' in the Free World,Neil Young,35706459
Lights Out,Royal Blood,53661689
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,333714827
Aces High - 1998 Remastered Version,Iron Maiden,44324946
Happy With You,Paul McCartney,5270557
Basket Case,Green Day,381806831
Dragula,Rob Zombie,96615936
Long Train Runnin',The Doobie Brothers,128133542
How to Save a Life,The Fray,521473709
You Give Love A Bad Name,Bon Jovi,368132157
Runnin' Down A Dream,Tom Petty,88084653
Jenny,Nothing More,31668172
Beautiful Day,U2,217262304
Call Me When You're Sober,Evanescence,53486533
Wild Flowers,Frank Carter & The Rattlesnakes,5744372
Smooth Criminal,Alien Ant Farm,159134492
Smoke On The Water - Remastered 2012,Deep Purple,178075845
Roxanne - Remastered 2003,The Police,215370670
Black Francis,The Orwells,1979616
Heaven and Hell - 2008 Remaster,Black Sabbath,44999076
I Remember You,Skid Row,62641026
Into The Fire,Asking Alexandria,29798121
Holiday / Boulevard of Broken Dreams,Green Day,206142163
In Bloom,Neck Deep,30749202
You Worry Me,Nathaniel Rateliff & The Night Sweats,37834223
Around the World,Red Hot Chili Peppers,67676039
La Grange - 2005 Remaster,ZZ Top,191919367
Glycerine - Remastered,Bush,86997034
Little Wing,Jimi Hendrix,97687167
My Generation - Stereo Version,The Who,111668010
Why'd You Only Call Me When You're High?,Arctic Monkeys,335287234
Black Magic Woman - Single Version,Santana,81676714
Use Somebody,Kings of Leon,357079812
Lake Effect Kid,Fall Out Boy,11868109
Misery,The Word Alive,13886243
Wild Side,Mötley Crüe,35614276
House Of The Rising Sun,The Animals,343086432
Make War,From First To Last,17985856
Hold the Line,TOTO,212174641
Ricochet,STARSET,11879685
Legendary,Welshly Arms,103201072
Why Don't You Get A Job,The Offspring,122749469
Enemies,Shinedown,45882842
Somebody To Love - Remastered 2011,Queen,363681379
Aqualung,Jethro Tull,41814701
Someday,The Strokes,158057048
Purple Haze,Jimi Hendrix,145048312
I Hate Everything About You,Three Days Grace,269759834
A Warrior's Call,Volbeat,75769160
Wonderwall - Remastered,Oasis,805675300
