Title,Artist,Count
Cecilia - Single Mix,Simon & Garfunkel,126277968
Dark Undercoat,Emily Jane White,444449
Wind And Walls,The Tallest Man On Earth,5128908
A Candle's Fire,Beirut,14258548
Sun It Rises,Fleet Foxes,12586346
Hard Sun,Eddie Vedder,60143030
Sparrow,Audrey Assad,1377223
Box of Stones,Benjamin Francis Leftwich,7064411
Perth,Bon Iver,55616918
Big Parade,The Lumineers,48371299
Murder in the City,The Avett Brothers,17477120
Skinny Love,Birdy,443092427
Your Protector,Fleet Foxes,14019412
Submarines,The Lumineers,48720935
King And Lionheart,Of Monsters and Men,95082283
Moni Mon Amie,Julia Holter,328085
Boy With a Coin,Iron & Wine,31551311
It's About Time,Treetop Flyers,297389
Pink Moon,Nick Drake,60285702
Holland Road,Mumford & Sons,52840309
Constellations,Alessi's Ark,114462
Smother,Daughter,66880700
Man and Man's Ruin,Cult of Youth,122231
Sloom,Of Monsters and Men,21654148
The Lion's Roar,First Aid Kit,42338258
Skinny Bones Jones,Infantree,72632
Furr,Blitzen Trapper,30993854
The Fear,Ben Howard,49377893
Dancing On Our Graves,The Cave Singers,1359066
Orange Sky,Alexi Murdoch,46721349
Mushaboom,Feist,41269266
20 Years,The Civil Wars,21303293
If I Were a Surfer,Elephant Micah,357269
Small Hands,Keaton Henson,11965300
Thistle & Weeds,Mumford & Sons,29152998
Trouble,Ray LaMontagne,39438620
Truth,Amos Lee,1633054
I Didn't Mean It - Soundtrack Version,The Belle Brigade,6268627
Time To Run,Lord Huron,19476714
Hope In The Air,Laura Marling,2795006
Roll Away Your Stone,Mumford & Sons,40663229
Lorelai,Fleet Foxes,9323089
The One That Got Away,The Civil Wars,14266531
Monotony,Willis Earl Beal,611379
Neither Here Nor There,Lost In The Trees,2926853
Keep Your Head Up,Ben Howard,132395200
The A Team,Ed Sheeran,533329162
I Never Knew You,The Avett Brothers,4802815
Truth,Alex Ebert,25159312
Place To Be,Nick Drake,20265266
Two Matchsticks,The Wooden Birds,1435939
1234,Feist,105199748
Black River Killer,Blitzen Trapper,10917059
The Boxer,Jerry Douglas,43970837
Charlie Darwin,The Low Anthem,2958273
To Be Alone With You,Sufjan Stevens,64056443
Broken Brights,Angus Stone,5913930
Bedouin Dress,Fleet Foxes,13238969
I Will Follow You Into The Dark,Death Cab for Cutie,160112064
America - Single Mix,Simon & Garfunkel,46034786
The Cave,Mumford & Sons,281972543
"Lisbon, OH",Bon Iver,20369583
Mykonos,Fleet Foxes,134771605
In the Hearts of Men,First Aid Kit,13544476
All the Wild Horses,Ray LaMontagne,10148734
Chicago,Sufjan Stevens,34963997
One Of These Things First,Nick Drake,25037026
Rambling Man,Laura Marling,10372768
Don't Wake the Scarecrow,The Felice Brothers,379840
Dearheart,Dear Reader,206839
Your Bones,Of Monsters and Men,30136800
Honey Won't You Let Me In,The Tallest Man On Earth,5358252
Nantes,Beirut,39515811
White Blank Page,Mumford & Sons,74771784
Crosses,José González,68965024
Married to the Movies,Woodpecker!,208602
Pictures of Stone,Milk Maid,161802
On Your Wings,Iron & Wine,3122583
I Won't Be Found,The Tallest Man On Earth,14702394
Lose Your Soul,Dead Man's Bones,6272976
Your Rocky Spine,Great Lake Swimmers,13441192
Blood Bank,Bon Iver,72451660
Slow Cruel Hands Of Time,Band of Horses,7148140
I Gave You All,Mumford & Sons,39109512
Matty Groves,Fairport Convention,3241461
Riptide,Vance Joy,876866343
Go To Sleep,The Avett Brothers,4458464
Yet Again,Grizzly Bear,21368992
Pushing the River,Shearwater,271008
Ghosts,Laura Marling,40028267
City Kiss,Frànçois & The Atlas Mountains,332283
Heart of Gold,Neil Young,124417235
Banana Pancakes,Jack Johnson,247326313
From This Valley,The Civil Wars,9277558
I And Love And You,The Avett Brothers,60535387
No Rest,Dry the River,6665157
Against The Grain,Hudson and Troop,4052166
Dead Sea,The Lumineers,66942999
The Darkest Side,The Middle East,7661558
Dirty Loverstuff,Fanuelle,825630
Song for Motion,Lowlakes,2140463
C'est La Mort,The Civil Wars,8121774
Lakehouse,Of Monsters and Men,24233074
Midnight on the Interstate,Trampled by Turtles,7005479
The Wolves (Act I and II),Bon Iver,42550303
King Of Spain,The Tallest Man On Earth,22421936
When We Fall In,Sean Hayes,2112037
Classy Girls,The Lumineers,46612766
The Needle And The Damage Done,Neil Young,22851023
Hold On,Alabama Shakes,94271981
9 Crimes,Damien Rice,105220129
California Dreamin',The Mamas & The Papas,201663100
Alone,Trampled by Turtles,14345440
Feel the Tide,Mumford & Sons,11347287
Montezuma,Fleet Foxes,25758579
Thousand Ways,The Tallest Man On Earth,4242405
Lay Down In The Tall Grass,Timber Timbre,3470524
Two Weeks,Grizzly Bear,117624107
Fire and Rain,James Taylor,112699828
Every Space,Lauren O'Connell,344390
Hurt,Johnny Cash,297278263
Lay Me Down,The Oh Hellos,7795094
Battles,Hudson Taylor,11488866
"Don't Be Afraid, You're Already Dead",Akron/Family,2868176
Birds of a Feather,The Civil Wars,5060854
Six Weeks,Of Monsters and Men,29082091
Grey Sublime Archon,Eluveitie,1944910
The Sound of Silence,Simon & Garfunkel,249862763
Flume,Bon Iver,81456780
Baby,Devendra Banhart,26874532
Don't Look Down Or Back,Tunng,560650
The Girl,City and Colour,63457824
Falling,The Civil Wars,7863041
For Those Below (Bonus Track),Mumford & Sons,16770437
Yellow Light,Of Monsters and Men,28098929
Viking,Ted Gärdestad,4589897
This Old Dark Machine,James Vincent McMorrow,6889665
Postcards From Italy,Beirut,30073391
Meet On The Ledge,Fairport Convention,989531
Winter In My Heart,The Avett Brothers,5806806
The Times They Are A-Changin',Bob Dylan,111492610
Tree by the River,Iron & Wine,5300843
Cali in a Cup,Woods,2088547
Ragged Wood,Fleet Foxes,30805972
Love Vigilantes,Iron & Wine,11185300
Where Are You Now (Bonus Track),Mumford & Sons,36077784
The Longest Day,Megafaun,1230789
A Rose For Epona,Eluveitie,8448034
Knockin' On Heaven's Door - Remastered,Bob Dylan,130723226
Calgary,Bon Iver,33121519
Simple Song,The Shins,72920009
Sim Sala Bim,Fleet Foxes,8434706
Darkest Hour,Arlo Guthrie,23354
Candles,Daughter,30711669
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,55430539
Another Story,The Head and the Heart,54353385
Shame,The Avett Brothers,5135788
Subterranean Homesick Blues,Bob Dylan,19858573
Shake,The Head and the Heart,47321037
Reminder,Mumford & Sons,41186054
Airplanes,Local Natives,25170066
Lost in My Mind,The Head and the Heart,128589612
Little Brother,The Tallest Man On Earth,4414885
If Time Was For Wasting,Dylan LeBlanc,1016114
40 Day Dream,Edward Sharpe & The Magnetic Zeros,58127987
Pretty Girl From Michigan,The Avett Brothers,5967954
Blood,The Middle East,38328370
Survivor Blues,Cory Branan,426565
re:stacks,Bon Iver,138449001
1901,Birdy,21820661
From Finner,Of Monsters and Men,31588125
The Longer I Run,Peter Bradley Adams,27376427
Oats In The Water,Ben Howard,39362813
This Must Be the Place (Naïve Melody),The Lumineers,18429708
Where Is My Mind?,Trampled by Turtles,11026613
Flapper Girl,The Lumineers,35540181
I Don't Wanna Pray,Edward Sharpe & The Magnetic Zeros,7010109
Step Out For A While,Patrick Watson,3768641
Dance to Another Tune,First Aid Kit,6786175
We the Common (For Valerie Bolden),Thao & The Get Down Stay Down,4813370
Ribbon,She Keeps Bees,231574
Hold You in My Arms,Ray LaMontagne,49031149
Inis Mona,Eluveitie,14960196
Marathon Runner,Yellow Ostrich,2299334
Dog Days Are Over,Florence + The Machine,318911261
I Can’t Make You Love Me/Nick Of Time,Bon Iver,19484394
Someone You'd Admire,Fleet Foxes,7286891
Each Coming Night,Iron & Wine,26393813
Red Hands,Walk Off the Earth,22140386
All My Rage,Laura Marling,1186356
Bodies,Pale Seas,945815
This Year,The Mountain Goats,14960260
Flame On My Head,Blaudzun,1920930
The Drying Of The Lawns,The Tallest Man On Earth,4409705
Islands,Plankton Wat,162263
Heartbeats,José González,269002975
The Sun,Ukulele Clan Band,645352
After The Storm,Mumford & Sons,43301711
Knots,Lisa Hannigan,6672555
Northern Sky,Nick Drake,24497484
Passion Play,William Fitzsimmons,8877616
Meadowlarks,Fleet Foxes,8148980
Calling Me Names,Good Old War,2334375
"Piazza, New York Catcher",Belle & Sebastian,25454243
Catch The Wind,Donovan,746311
The World Is A Picture,Josh Pyke,1054272
Shine,Benjamin Francis Leftwich,136112153
Dance Me to the End of Love - Bonus,The Civil Wars,26556562
Morning Song,The Avett Brothers,14124026
On Top Of The World,Imagine Dragons,419878057
1904,The Tallest Man On Earth,17591126
Is There A Ghost,Band of Horses,22835365
' Cello Song,Nick Drake,8753942
Bright Whites,Kishi Bashi,2006669
The Only Living Boy in New York,Simon & Garfunkel,45950329
Frankie's Gun!,The Felice Brothers,5541953
Brother,Edward Sharpe & The Magnetic Zeros,3156140
I Walk the Line,Johnny Cash,149004744
Down With The Shine,The Avett Brothers,4306030
Atlas Hands,Benjamin Francis Leftwich,63593594
Feeding Line,Boy & Bear,13279138
Ghost,Yellow Ostrich,754159
Sarah,Ray LaMontagne,6043333
To a Poet,First Aid Kit,9660518
I Will Remain,Matthew And The Atlas,13889184
