,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
312,Under Enemy Arms,Trippie Redd,94,94,0,1,"uh, huh niggas gon' end hearse, hearse niggas gon' end dirt, dirt trenches, make work, work fuck niggas gon' make worse, worse arm (arm), arm ho, that's enemy arms (arms) ho, that's enemy arms (arms) tear enemy's army (army) tear enemy's army (army) ho, that's enemy's arms (arms) ho, that's enemy's arms (arms) wish enemy harm (harm) huh, bitch,  star (star) foreign lil' whip  whippin' car (car) might park yard (yard) catch opps lackin', rip 'em apart (yeah) fuck it, got heart show emotions, live dark (dark) know bitch left scarred (scarred) know ain't play part (part) focused wishing harm (harm) fuck it, right bear arms (arms) keep stick me, armed (armed) enemy arms cannot fold enemy arms (arms) enemy arms (arms) enemy arms niggas gon' end hearse, hearse niggas gon' end dirt, dirt trenches make work, work fuck niggas gon' make worse, worse war  bitch gang  bitch gang, ayy  bitch gang thirty, gon' let bang, ayy chopper, gon' let bang blowin' brain, sad chopper, gon' let bang blowin' brain, sad war  bitch gang  bitch gang, ayy  bitch gang thirty, gon' let bang, ayy chopper, gon' let bang blowin' brain, sad chopper, gon' let bang blowin' brain, sad niggas gon' end hearse, hearse niggas gon' end dirt, dirt trenches make work, work fuck niggas gon' make worse, worse arm (arm), arm ho, that's enemy arms (arms) ho, that's enemy arms (arms) tear enemy's army (army) tear enemy's army (army) ho, that's enemy's arms (arms) ho, that's enemy's arms (arms)"
313,Night Shift,Jon Pardi,100,56,88,16,"wreck week sixty plus dawn dusk red dirt heat busting couple bucks ain't thing another day 'til  way cool, cool sheets working night shift, baby dying touch like crazy racking overtime hours loving we're working night shift, baby gonna rock right need talk, know want like 'cause too, yeah love leave lights thing feels nice working night shift, baby dying touch like crazy racking overtime hours loving we're working night shift, baby yeah, yeah wreck week oh, needs sleep? working night shift, baby dying touch like crazy racking overtime hours loving we're working night shift, baby loving we're working night shift loving we're working night shift working night shift, baby"
314,A Lot,21 Savage,49,12,46,23,"love turn headphone little bit, yeah many reasons yeah, yeah, yeah, yeah, yeah, yeah (i do), yeah, yeah yeah yeah yeah, yeah, ah, ah, whoa, whoa, whoa, yeah much money got? (straight up) much money got? (straight up) much money got? (straight up) much money got? (a lot) much money got? (a lot) many problems got? (a lot) many people done doubted ? (a lot) left rot? (a lot) many pray flop? (a lot) many lawyers got? (a lot) many times got shot? (a lot) many niggas shot? (a lot) many times ride? (a lot) many niggas done died? (a lot) many times cheat? (a lot) many times lie? (a lot) many times leave? (a lot) many times cry? (a lot) many chances done gave fuckin around thots? (a lot) every day  alive, ima ride stick i'd rather broke jail dead rich told brothers take breath turn snitch  l, aint way a switch break down, break break down, break break down, break break down, break penitentiary chances make couple bucks heart cold could put cup gang vs. world, dawg, us went wrote statement, really fucked brother lost life turned beast brother got life turned streets storm turned g side sunny, get paid rap beats much money got? (a lot) many problems got? (a lot) many people done doubted ? (a lot) left rot? (a lot) many pray flop? (a lot) many lawyers got? (a lot) many times got shot? (a lot) many niggas shot? (a lot) many times ride? (a lot) many niggas done died? (a lot) many times cheat? (a lot) many times lie? (a lot) many times leave? (a lot) many times cry? (a lot) many chances done gave ? fuck around thots (a lot) break down, break break down, break yeah, came drove back home, six-hour drive, six-and-a-half left stopped see nigga studio two kids right studio, that's knew stand nigga, love seein' shit like question many faking streams? (a lot) getting plays machines? (a lot) see behind smoke mirrors niggas ain't really big seem (hmm) never say anything (nah), everybody got thing (true) niggas make millions, niggas make memes (hmm)  money routine want smoke, want cream want comparisons marathon im aware playing back lack promotions never one bragging boasting guess hoping music would speak itself, people want everything else okay, problem, ill show everyone album know outcome  batting thousand got point rappers even like rappin' fuck 'cause nigga savage hit told saved spot new record got call 'a lot,' open book jot pray tekashi, want rot picture inside cell cot flectin' made top wondering worth pray markelle 'cause fucked shot want know got it, nigga though never met , know special lord blessed , doubt it, nigga dennis smith, jr., stay solid, nigga  tangent, planned fans hopped abandoned ship thought gone pan out, got plan say success greatest revenge, tell friends cole mission, cementin' spot greatest ends, nigga much money got? (a lot) many problems got? (a lot) many people done doubted ? (a lot) left rot? (a lot) many pray flop? (a lot) many lawyers got? (a lot) many times got shot? (a lot) many niggas shot? (a lot) many times ride? (a lot) many niggas done died? (a lot) many times cheat? (a lot) many times lie? (a lot) many times leave? (a lot) many times cry? (a lot) many chances done gave ? fuck around thots (a lot) break down, break break down, break break down, break break down, break break down, break break down, break break down, break break down, break down, br-"
315,Thotiana,Blueface,50,8,50,20,"blueface, baby yeah aight bust down, thotiana yeah aight wanna see bust bust down, thotiana (bust down, thotiana) wanna see bust (over) pick up, break shit (break down) speed up, slow shit down, gang (slow down) bust (bust down), bust down, bust it, bust bust down, gang (over) bust down, thotiana (bust down, thotiana) wanna see bust (over) pick up, break shit (break down) speed up, slow shit down, gang (slow down) bust (bust down), bust down, bust it, bust bust down, gang (over) blueface, baby yeah aight,  every woman's fantasy (blueface, baby) mama always told gon' break hearts guess fault, stupid, mad (don't mad me) wanna see bust (bust down) bend shit over, gang (yeah aight) make shit clap threw back double back, gang (on gang) smackin', high drugs (off drugs) tried tell two times enough (was enough) nigga relapsed, dead locs ain't runnin', thotiana, gon' take damn strokes (thotiana) beat pussy up, murder scene keep shit player, thotiana, like ain't never even heard (blueface, baby) bust down, thotiana, wanna see bust (bust down) bend shit (bend over) yeah aight, make shit clap, gang (make clap) toot thing (toot up) throw shit back (throw back) need extras, dead locs bust down, thotiana (bust down, thotiana) wanna see bust (over) pick up, break shit (break down) speed up, slow shit down, gang (slow down) bust (bust down), bust down, bust it, bust bust down, gang (over) bust down, thotiana (bust down, thotiana) wanna see bust (over) pick up, break shit (break down) speed up, slow shit down, gang (slow down) bust (bust down), bust down, bust it, bust bust down, gang (over)"
316,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,77,21,21,2,"best music dj khaled oh, keep taking higher higher (yeah) know devil liar? (yeah, know) they'd rather see down, put soul fire keep goin' higher, higher look, look granny , uncle miscarriage back-to-back every year like ten pregnant moms, doctor told slim bed rode nine months, gave birth end pops turned , proud done one generation, came africa ng said met moms century club los angeles love kinda like hussle boog mani turned ten, kross turned two startin' see life shit bird's view ones made millions curb, fool rap shit ten, never made nerd moves oh, keep taking higher higher (yeah) (hussle, khaled) know devil liar? (yeah, know) (right back) they'd rather see down, put soul fire keep goin' higher, higher (woah, woah) (nip, talk 'em) emptied clip, broad day fuck niggas always gotta learn hard way gon' tape ball play put half moon crescent bald fade police hit lights, that's car chase lookin' back life make heart race dance devil test faith thinkin' chess moves god's grace crooked ass whoever 'til straight shame, peeped game fake south central state mind, high crime rate (yeah) homicide, hate, gang banging'll get day (yeah, yeah) look fate oh, keep taking higher higher (yeah) (told khaled bounce four 'til bar break) know devil liar? (i know) they'd rather see down, put soul fire keep goin' higher, higher higher oh, lord feel it? shoes scrapin' sky  high keep goin' higher"
317,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,89,52,73,16,"yeah found cigarettes fendi coat even though even smoke always changin' access codes yeah, tell one knew yeah, actin' conspicuous flip me, say think much movin' different makin' love baby, tell me, tell love, love now? wanna know truth (whoa) love, love now? know someone new ain't gotta make easy, sleepin'? shit keepin' night, admit love, love now? wanna know, wanna know now, now, , love, love (yeah) now, now, , love now? (oh) now, now, , love, love (yeah) wanna know, wanna know well, keep switchin' alibi stutterin' reply can't even look eye oh, tell, know lyin' 'cause actin' conspicuous flip me, say think much we're movin' different we're makin' love so, baby, tell me, tell love, love now? wanna know truth (whoa) love, love now? know someone new ain't gotta make easy, sleepin'? shit keepin' night, admit love, love now? wanna know, wanna know now, now, , love, love (yeah) now, now, , love now? (oh) now, now, , love, love (yeah) wanna know, wanna know (who) actin' conspicuous (who) flip me, say think much (who) movin' different makin' love (who) baby, tell me, tell love, love now? wanna know truth (whoa) love, love now? know someone new ain't gotta make easy, sleepin'? shit keepin' night, admit love, love now? wanna know, wanna know now, now, , love, love now, now, , love now? now, now, , , love, love now, now, , love now? ain't gotta make easy, sleepin'? shit keepin' night, admit love, love now? wanna know, wanna know , love, love now, now, , love now? now, now, , ,"
318,Don't Call Me Up,Mabel,90,66,79,10," underneath bright lights  tryna good time 'cause  good ain't mine now, now, now, now, call looking photos getting hot, losing control want let go now, now, now,  need lies 'cause truth is, without , boy,  stronger know said changed cold heart game left scars ooh,  call  going tonight feeling good outta life wanna talk us gotta leave behind one drink outta mind now, take baby,  high alone, going mind  club wanna talk call 'cause  looking fine, babe got eyes looking way everybody's vibe, babe now, now, now, now, call friends said bad man listened back tryna hit now, now, now,  need lies 'cause truth is, without , boy,  stronger know said changed cold heart game left scars ooh,  call  going tonight feeling good outta life wanna talk us gotta leave behind one drink outta mind now, take baby,  high alone, going mind  club wanna talk call call call call  need lies 'cause truth is, without , boy,  stronger know said changed cold heart game left scars ooh,  call  going tonight feeling good outta life wanna talk us gotta leave behind one drink outta mind now, take baby,  high alone, going mind  club wanna talk call"
319,Earth,Lil Dicky,91,17,78,6,"up, world? boy, one guys here. well, could specific. uh,  human, wanted to, know, sake us earthlings there, wanted say: love earth, planet love earth, home love earth, planet love earth, home hi,  baboon  like man, less advanced anus huge hey,  zebra one knows do, look pretty cool white black?  lion cub,  always getting licked (meow!) how's going?  cow (moo!) drink milk tits (moo)  fat, fucking pig  common fungus  disgruntled skunk, shoot butthole  marijuana plant, get fucked  kanye west love earth, planet love earth, home love earth, planet love earth, home love earth ba-dum-ba-dum-dum, ba-dum-da-di vultures, feed dead we're rhinos, horny heck  giraffe, what's neck? hippity-hop,  kangaroo hop day,  elephant, got junk trunk fuck?  clam!  wolf. howl!  squirrel, lookin' next nut  pony, freak horse, heh-heh-heh but, uh, c'mon, get (get on, yah!) giddy up, let's ride  hpv, let  koala sleep time what? cute love , india love , africa love chinese forgive , germany earth, planet (it's planet) love earth (we love earth), home (home) love earth, planet (it planet) love earth, home love earth  man (hello?) hear me? (anyone there? hello?) i've trudged earth damn long still know shit (what's going on?) hope simulation (huh) give names like ahmed pedro and, yeah, like wear clothes, girls still look beautiful covers human dick (woo), eat lot tuna fish days, like know act shootings, pollution, attack like, let's chill (hey), respect built (hey) like look internet! cracking hell fellas, love cum sex? (ayy) heard women orgasms better dick's (uh) got land for? gotta stand for? love, love earth (the earth) oh, yeah, baby, love earth love planet hey, russia, we're cool hey, asia, , c'mon every one plains sahara let's come together live hum-dum-dum-dae-dum, hum-dum-dum-dae-dum -- amamos la tierra (we love , love ) c'mon everybody, know we're we're living earth (we love , love ) ever earth? everyone listening earth, ariana (we love , love ) we're making music aliens gonna die? know what, bieber? might die (we love , love )  going lie mean, there's many people think global warming's real thing. know? gotta save planet. we're stupid unless get shit together"
320,HP,Maluma,96,96,0,1,"(maluma, baby) ella est buscando novio quiere salir joder, yeh-yeah quiere olvidarse de ese bobo porque el cabrn le fue infiel, oh-no-no-no le rompiero' el corazn busca nadie que se lo reponga solo quiere alguien que se lo ponga ella quiere un man que la llame que joda pa' reemplazar al perro que la valora quiere aprovechar que est ms buena ms de moda empez meterle al gym desde que qued sola las envidiosas dicen que eso se lo hizo el cirujano pero es ella misma queriendo salir del dao quiere salir, fumar, beber subir un video pa' que lo vea l pa' que se de cuenta de lo que perdi pa' que el hijo 'e pu- se sienta peor quiere salir, fumar, beber subir un video pa' que lo vea l pa' que se de cuenta de lo que perdi pa' que el hijo 'e pu- se sienta peor ella est buscando novio (no busca novio, no) quiere salir joder (yeh-yeah) quiere olvidarse de ese bobo (ey, yeah-yeah-yeah-yeah) porque el cabrn le fue infiel, oh-no-no-no cuando se suelta existe una amiguita que la pare quiere un novio pa' rendirle cuentas necesita ningn hp en el party que la pare cuando se suelta existe una amiguita que la pare quiere un novio pa' rendirle cuentas necesita ningn hp en el party que la pare quiere salir, fumar, beber subir un video pa' que lo vea l pa' que se de cuenta de lo que perdi pa' que el hijo 'e pu- se sienta peor quiere salir, fumar, beber subir un video pa' que lo vea l pa' que se de cuenta de lo que perdi pa' que el hijo 'e pu- se sienta peor (peor) ella est buscando novio (no busca novio, no) quiere salir joder (yeh-yeah) quiere olvidarse de ese bobo (ey, yeah-yeah-yeah-yeah) porque el cabrn le fue infiel, oh-no-no-no ella est buscando novio (no busca novio, no) quiere salir joder, yeh-yeah, yeh-yeah para olvidarte de ese bobo cuenta conmigo, mujer, yeh-yeah, yeh-yeah"
321,Mixed Personalities,YNW Melly Featuring Kanye West,98,42,0,18,"hard, like say want someone say want someone said want someone say want someone think got mixed personalities bitch switched whole mentality girl, got mixed personalities one day happy, mad say want someone love someone could please someone kiss rub fuck like this, fuck like oh, now, got mixed personalities got stressin', singin' melodies her, swear i'd catch felony oh, penelope say want someone say want someone said want someone said want someone swear god, girl trippin', dawg one day blooded, crippin', dawg know put kidneys, dawg screamin' out, need lithanol blockin', ignorin' calls (blockin', ignorin' calls) keep blockin', ignorin' calls (blockin', ignorin' calls)  inside her, i'll knock walls (knock 'em down, boom) bitch hyper, need adderall (oh, no) think got mixed personalities bitch switched whole mentality girl, got mixed personalities one day happy, mad say want someone love someone could please someone kiss rub fuck like this, fuck like oh, lord, ain't never before, oh, oh, keep pressin' ignore, oh, keep ignorin' calls blockin' everything bitch, oh, oh, fault, mmm got keys lil' bitch heart can't get vault (yeah) better go get locksmith, better go get glock, bitch pull mothafuckin' opp playin' slime that's boo, that's slime, that's everything (everything) that's bitch forever, need wedding ring (no wedding ring) i'll give world, polka dots new pajamas take bitch bahamas, let ho eat benihana (benihana) matter fact, ain't tryna meet mama (meet mama) dick down, way (all way) dick down, yeah, way (right way) dick down, yeah, thugger way (thugger way) knockin' door (door), tryna give love (love, love) keep tellin' (love), give fuck (fuck, fuck) find nobody fuck like fuck , bae find nobody fuck like fuck , bae find nobody fuck like fuck , bae ng nigga world got ng nigga ways think got mixed personalities bitch switched whole mentality girl, got mixed personalities one day happy, mad say want someone say want someone said want someone said want someone"
322,Paradise,Bazzi,99,91,0,3,"one, two, three, four hands body,  grabbin' ass enjoyin' moment 'cause life move fast  lookin' forward, ignorin' past times we'll laugh lookin' back  gettin' lucky like coins well goodbye haters,  wishin' well year, man, tell life livin' well late nights city, causin' hell burn bitch ground, oh well got tonight, let's right let's right let's go (paradise) shit feel like friday nights shit make feel alive feel like paradise, paradise (paradise) know drink poured swear i've never loved right here, come alive one hit fly shit feel like (paradise)  feelin' it, head's ceilin' (oh yeah) energy turns nights memories (oh yeah) count bands, workin' summer ex know had, bummer insecure people turn insecure lovers well, drink almost  pour another let night begun, level get fucked up, promise hold yeah, shit can't deny shit feel inside life, time, livin' well late nights city, causin' hell burn bitch ground, oh well got tonight, let's right let's right let's go (paradise) shit feel like friday nights (ooh, do) shit make feel alive (baby) feel like paradise, paradise (paradise, oh yeah) know drink poured (poured) swear i've never loved (loved more) right here, come alive one hit fly shit feel like (paradise)"
323,Triggered,Jhene Aiko,100,51,94,3,"go figure trigger brought obstructed view knew picture bigger kiddin'? knew beginning ruin everything, every time enemy, friend mind, muhfucker muhfuckin' right muhfuckin' right,  bitter muhfuckin' right,  triggered muhfuckin' right, i... wanna fuck right turned lights know sun go that's would go minute, ain't let nobody hit since hit know always know wit' ain't without damn,  'bout burn bitch think need lie 'cause  tryna wild right know  capable might fuck around go crazy cuz might fuck around, pay blood ain't way want might catch case bitch let catch face-to-face bitch tryin' hardest disrespect did, man, expected? muhfucker muhfuckin' right muhfuckin' right,  bitter muhfuckin' right,  triggered muhfuckin' right, i... tryna let time fly (yeah) tryna let time go tryna let time heal tryna let time kill memories meant history that's history i'll calm eventually fall back eventually, please call back eventually fall back me, yeah maybe  overreacting baby, know happened know bad habits know hard control shit, man 'cause get mad, get big mad never that, get back 'bout feel wrath menace bag, feelings  bad lil' bitch, uh...  triggered, see face triggered, hear name triggered, okay need stay way  triggered, see face triggered, hear name triggered, okay (yeah) need stay way need stay way (yeah) need stay way, yeah oh oh-oh-oh, ayy, yeah"
324,Girls Like You,Maroon 5 Featuring Cardi B,35,1,32,52,"(for new vocal instrumental duo/group collaborative pop recordings. singles tracks only.) 'fall line' christina aguilera featuring demi lovato track from: liberation 'don't go breaking heart' backstreet boys ''s wonderful' tony bennett & diana krall track from: love stay 'shallow' lady gaga & bradley cooper 'girls like ' maroon featuring cardi b track from: red pill blues 'say something' justin timberlake featuring chris stapleton 'the middle' zedd, maren morris & grey"
325,I Think,"Tyler, The Creator",51,51,0,1,"(four, four, four, four) (four, skate, four, skate, four, skate, four, skate) know im going (skate) know  showing (four) feelings, that's im pouring (skate) fuck motive? (four) man, wish would call (skate) name 'cause  sorry (four) apology (skate) distraction (four) that's on, aw (skate) fuckin' ambiance, pause (four) drive cuckoo car (skate) 'cause want like leon ware (fuck that) okay, say (fuck that) okay, wait minute (woah) dread shit, anwar (skate) curiosity killed feline, gone (four, skate) think i've fallen love (skate) time think real (four, skate) think ive fallen love (four, skate) time think real (four) tell ? (skate) tell ? (four) tell ? (skate) tell ? (four) tell ? (skate) tell ? (four) tell ? (skate) tell ? (four) notice there, im always hair always microscope (four) waste bread, need attention (skate)  balance, need fixin' (four) im puppet, jim henson (skate, four) fallen love (skate) think i've fallen love (four) fell love (skate) time think real (four) think  love (skate) think i've fallen love (four) think  love (skate) time think real (four, four) tell ? (shut fuck up) tell ? (four) tell ? ( fuckin' bitch) tell ? (four) tell ? (skate) tell ? (four) tell ? take 'em bridge (four, four, four) four, four, four, four (four, skate) think i've fallen love (four) fell love (skate) time think real (four) think  love (skate) think i've fallen love (four, skate) time think real (oh, oh, yeah, yeah) (four, skate, four, skate)"
326,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,52,52,0,1,"january'giant' calvin harris featuring rag 'n' bone man 'don't post me' cupcakke 'between &me'by betty 'science'by allie x 'small victory' transviolet 'flesh& bones' tsar b 'whoa (mind awe)' xxxtentacion 'limitless' jennifer lopez 'control' fedar 'how love me' kiiara 'running' dua lipa 'party one' carly rae jepsen 'paris' sabrina carpenter 'want back' grey featuring leon 'would i' maggie lindemann 'pussy god' king princess 'truth tea' zolita 'timebomb' walkthemoon 'numb' jaira burns 'rythm blood' icona pop 'middle heartbreak' leland 'love' louis child featuring elohim 'veneno' anitta ' rings' ariana grande 'thank u, next' ariana grande 'bitter chocolate' sage charmaine 'hope dangerous thing woman like - it' lana del rey 'chanel slides' dreezy featuring kash doll 'breaking news' louis child featuring raye 'loner' terror jr 'hungoverheadcrack' terror jr 'yamaguchi' terror jr 'toxins' carlie hanson 'juice' lizzo 'handmade heaven' marina february'dumb blonde' avril lavigne 'who love' chainsmokers featuring sos 'goals' anitta 'babyface savage' bhad bhabie featuring tory lanez 'numb' carlie hanson 'look me' sage charmaine 'last hurrah' bebe rexha 'cuz love ' lizzo 'nothing left say' xylo 'language' betty 'valentino' years & years ' sided love' blackbear 'i can't nice things' cxloe 'can't hide red' florida georgia line march'insomnia' daya 'superstar' marina 'little bit' terror jr 'when die' alma 'pretty' terror jr 'fake smile' ariana grande 'break girlfriend,  bored' ariana grande 'nasa' ariana grande 'talk it' florida georgia line 'hurt ' sophie rose 'it's u me' bea miller ' & i' leon 'stfu' julie bergen 'black magic' zolita 'sally walker' iggy azalea 'tempo' lizzo featuring missy elliott 'headcase' kailee morgue featuring hayley kiyoko 'happy' brooke candy 'wish gay' billie eilish 'ilomilo' billie eilish 'darkest hour' sevdaliza 'undrunk' fletcher 'someone new' astrid 'licht' bausa featuring darden april'monopoly' ariana grande featuring victoria monet 'orange trees' marina 'to human' marina 'mary' bausa 'wild' odessa k 'get stupid' bulow 'fine' bulow 'wake up' bulow 'martyr' sevdaliza 'aleppo' karyn 'soulmate' lizzo 'sharon stoned' chanel west coast 'julien' carly rae jepsen 'heard before' dinah jane 'pass by' dinah jane 'just boy' olivia o'brien 'nuk e di' era istrefi featuring nora istrefi 'faucet failure' ski mask slump god 'cellophane' fka twigs 'broken' kim petras 'me!' taylor swift featuring brendon urie 'loved ' terror jr 'back arms' carlie hanson 'drugs & internet' lauv 'okay' lany 'don't throw legos' ajr 'if gonna lie' fletcher 'emotional machine' marina 'he love me' winona oak 'gimme' banks may'started' iggy azalea 'around' sage charmaine 'blow mind' sabina ddumba 'i rise' madonna 'medellin' madonna featuring maluma 'energy' burns featuring a$ap rocky, sabrina claudio 'blow all' kim petras 'retrograde' dinah jane 'badass woman' meghan trainor 'sad face' bahari 'low blow' cxloe 'sweet spot' kim petras 'blame love' charli xcx featuring lizzo 'doin' time' lana del rey 'a thousand ways' phoebe ryan 'ride die' xylo 'conversation' isa 'orgy enemies' angie featuring zheani 'zulu screams' goldlink featuring maleek berry, bibi bourelly 'wish wish' dj khaled featuring cardi b, savage 'celebrate' dj khaled featuring travis scott, post malone 'money good' megan thee stallion 'daddy af' slayyyter 'the first one' astrid 'about ' fletcher 'close eyes' hey violet 'easier' sos 'lotta dem' bhad bhabie 'scary mask' poppy featuring fever 'lips lie' ally brooke featuring boogie wit da hoodie 'luften e fri' molly sanden 'superfruit' maude latour june'glad he's gone' tove lo 'never really over' katy perry 'mothers daughter' miley cyrus 'd.r.e.a.m.' miley cyrus featuring ghostface killah 'first time' grey featuring robinson 'gone' verite 'call mine' chainsmokers featuring bebe rexha 'press' cardi b 'clarity' kim petras 'hazel' carlie hanson 'open mouth' kiiara 'in bed' sabrina carpenter 'dark ballet' madonna 'number one fan' muna 'rich, white straight, men' kesha ' need calm down' taylor swift 'god control' madonna 'i search, find' madonna 'let know' flume featuring london grammar 'on roll' ashley 'make hot' major lazer featuring anitta 'megatron' nicki minaj 'all time' zara larsson ' doin' good' kat dahlia 'nacht' bausa 'guadalajara' bausa 'lonely night' alma 'old fashioned' chanel west coast 'hate me' ellie goulding featuring juice wrld 'icy' kim petras 'shinin'' kim petras 'shut & cry' zolita 'hurt again' julia michaels 'goddess' jaira burns"
327,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,57,0,1,"tay keith (tay keith) jealous, jealous best music oh, oh, oh want us together, 'gether another one need somebody, babe, need somebody, babe dj khaled pick ride make sure waitin' outside pull told niggas can't slide (no, no) right side could've anywhere,  right want grab hips tell one (yup) tell got need 'cause want body (r body), yeah, yeah body (body) know hatin', say  good know watchin' (no, no) girl, tell need love life (let's ride)  one, let one change mind fuck say (fuck 'em) girl, jealous, jealous, jealous (let's go) want us together, 'gether, 'gether girl, jealous, jealous, jealous want us together, 'gether, 'gether girl, jealous, jealous, jealous want us together, 'gether, 'gether girl, jealous, jealous, jealous (yeah, yeah, yeah) want us together, 'gether, 'gether mad jealous, sad settle brighter rainbow, badder weather good bad, badder better bring sand beach, nigga, desert fell heavens, landed like feathers rose rubble, keep nose petals hoes know schedule, hoes know  special know question, bitch, know  alexa she, post pic ipad know hoes like that, likes at? jealousy disease, die mad tunechi, sean, cb, khaled, hi (yeah, yeah, yeah) girl, tell need love life (mulah, let's ride)  one, let one change mind (oh, na, na, na) fuck say (fuck 'em) girl, jealous, jealous, jealous (let's go) want us together, 'gether, 'gether girl, jealous, jealous, jealous (oh, oh, woah) want us together, 'gether, 'gether (oh, oh, girl, just) girl, jealous, jealous, jealous (woah) want us together, 'gether, 'gether (woah) girl, jealous, jealous, jealous (jealous) want us together, 'gether, 'gether (together) dawg, jealous ass hoes can't relate type follow hardly follow say  mind,  wondering  girl, fresh shower towel around head like erykah badu lookin' like spa day rearrange chakras, listenin' sade let's take road trip get high highway (swerve, swerve) migrate, spend time, lay back, watch sky change, woah hear jealousy, look, never listen quickest way let something die lack attention (straight up) got all, looking good intentions (damn) ascension, straight girl, tell need love life (let's ride)  one, let one change mind (oh) fuck say (fuck 'em) girl, jealous, jealous, jealous (let's go) want us together, 'gether, 'gether girl, jealous, jealous, jealous (oh, oh, woah) want us together, 'gether, 'gether (oh, oh, girl, just) girl, jealous, jealous, jealous (woah) want us together, 'gether, 'gether (woah) girl, jealous, jealous, jealous (jealous) want us together, 'gether, 'gether (together) boys scared a take chick (they chick) must money, 'cause ng boy rich (real rich) could drop dime, make make sense girl, coming home last number call list (call list) pull me, girl, let's get lit (get lit) think hit lick think hit lick, yeah (another one) girl, jealous, jealous, jealous (jealous, let's go) want us together, 'gether, 'gether (no, want us) girl, jealous, jealous, jealous (jealous) want us together, 'gether, 'gether (together) girl, jealous, jealous, jealous (oh, no, don't) want us together, 'gether, 'gether (no-woah, no-woah, no) girl, jealous, jealous, jealous (don't want us together) want us together, 'gether, 'gether (don't want us together) best music jealous want us together played (played themselves) baby, got idea let's together forever (forever) think hit lick, yeah, yeah"
328,Running Out Of Time,"Tyler, The Creator",65,65,0,1,"runnin' time, runnin' time, runnin' time runnin' time make love runnin' time, runnin' time make love secrets oh, spin head around (oh, spin head around) lookin' (for it, it) runnin' spells make love secrets keep make love (ah) wade water (wade water) waves wash drift deep end save, save, save low tide (i'll fine) found peace drownin' runnin' time, runnin time, runnin' time runnin' time make love livin' pretend keep buck fifty, fuck livin' pretend? take mask need picture (wade water) take mask (yeah) stop lyin' niggas stop lyin' know real save, save, save halloween ain't minute, lose costume need chill, okay runnin' targets 'em back day working all, another track daw actin' fool, actin' ball, packin' park, yeah  still runnin' time time, time runnin' outta time still runnin' outta time still runnin' outta time time yeah"
329,Igor's Theme,"Tyler, The Creator",67,67,0,1,"what, what, what, what, what, what, what, what, what, what? uh! runnin', runnin, runnin', runnin' uh! heaven, heaven (ooh) hes coming ridin' 'round town, gon' feel one ridin' 'round town, gon' feel one ridin' round town, gon feel one ridin', ridin 'round town, gon' feel one got my, got my, got my, got eyes open got my, got my, got eyes open got my, got my, got my, got eyes open got eyes open oh, yeah (what) oh-oh-oh, yeah he's comin runnin', runnin', runnin', runnin', runnin', runnin' what, what, what, what, what, what, what, what, what, what? he's comin' ridin' 'round town, gon' feel one (they gon' feel one) ridin' 'round town, gon' feel one ridin' 'round town, gon' feel (they gon' feel one) ridin', ridin' 'round town, gon' feel one, oh (got eyes open)  ridin',  ridin' (got my, got my, got eyes open) oh, yeah (got my, got eyes open)  ridin',  ridin', yeah,  (got my, got my, got my, got eyes) igor what? down, down, down, down, down, down, down, down, dow-dow-dow-dow-dow-dow-dow-dow- what? yeah, ho yeah, ho yeah, ho yeah, ho (what?) yeah, ho what, what, what? got eyes open got my, got my, got eyes open runnin', runnin', runnin' got eyes open what, what, what, what, what, what, what, what, what, what? wha-wha-wha-wha-wha-wha-what? what, what? what, what? got my, got my, got my, got my, got my, got my, got my, got what, what, what, what?"
330,New Magic Wand,"Tyler, The Creator",70,70,0,1,"sometimes gotta close door open window saw photo, looked jos eyes green, eat veggies need get picture really fuckin' frame developed like like magic, like magic, like magic, gone new magic, new magic, new magic wand like magic, like magic, like magic, gone (nigga) new magic, new magic, new magic wand brother said  spectrum call selfish, hate sharin' - workin' want hundred time, mine please leave please leave (don't leave) please leave please leave (don't leave) please leave (don't leave) (like magic, like magic, like magic, gone) please leave (i make leave) (new magic, new magic, new magic wand) please leave (don't leave) (like magic, like magic, like magic, gone) please leave (new magic, new magic, new magic wand) wanna found, passenger car (don't leave) wanna mean, mixed signals, park (i make leave) gonna dead, got magic wand (don't leave) finally together roll dice, hit seven, sure right beginner's luck, first, gives fuck? one evaporate, celebrate oath, pick side (run, run, run, run) i'll pick (run, run, run, run) joke, murder wrote ayo, take one look mirror, implications clear live life fear, except idea one day fetch ball eyes green, eat vegetables nothin' broad did, guarantee she'd gone, well got plan, 'bout walk pen can't understand,  hawk gym eyes prize, got weight chest need get off, ain't talkin' can't picture got frame gon' let world know 'cause ain't got shame blow whole spot up, 'cause ain't wanna share last names, wanna number one one, keep low  right mind, keep high janis joplin spillin' feelings,  moppin' 'em four floor, pack bags, hit store grab supplies, need masks, bust door get job done like retirement, admit look concerned new magic wand"
