Title,Artist,Rank,Peak Position,Last Position,Weeks
"Cruel Summer","Taylor Swift",71,29,29,2
"I Forgot That You Existed","Taylor Swift",74,28,28,2
"Call You Mine","The Chainsmokers & Bebe Rexha",76,56,79,14
"Out Of Luck","Lil Tecca",80,80,0,1
"Shots","Lil Tecca",84,84,0,1
"Juice","Lizzo",86,82,82,4
"Bezerk","Big Sean Featuring A$AP Ferg & Hit-Boy",89,89,0,1
"God Only Knows","for KING & COUNTRY",94,94,0,1
"Love Me","Lil Tecca",97,97,0,1
"Soltera","Lunay, Daddy Yankee & Bad Bunny",100,66,97,17
"The Archer","Taylor Swift",38,38,0,3
"Paper Rings","Taylor Swift",45,45,0,1
"Miss Americana & The Heartbreak Prince","Taylor Swift",49,49,0,1
"I Think He Knows","Taylor Swift",51,51,0,1
"Cornelia Street","Taylor Swift",57,57,0,1
"London Boy","Taylor Swift",62,62,0,1
"Soon You'll Get Better","Taylor Swift Featuring Dixie Chicks",63,63,0,1
"Death By A Thousand Cuts","Taylor Swift",67,67,0,1
"Afterglow","Taylor Swift",75,75,0,1
"False God","Taylor Swift",77,77,0,1
"Daylight","Taylor Swift",89,89,0,1
"Raised On Country","Chris Young",90,54,66,13
"It's Nice To Have A Friend","Taylor Swift",92,92,0,1
"Never Really Over","Katy Perry",94,15,65,13
"Earfquake","Tyler, The Creator",96,13,86,15
"Clout","Offset Featuring Cardi B",52,39,51,20
"What's The Move","Young Thug Featuring Lil Uzi Vert",55,55,0,1
"Just How It Is","Young Thug",60,60,0,1
"Surf","Young Thug Featuring Gunna",61,61,0,1
"Sup Mate","Young Thug Featuring Future",70,70,0,1
"Won't Be Late","Swae Lee Featuring Drake",75,75,0,1
"Heartless","Diplo Presents Thomas Wesley Featuring Morgan Wallen",78,78,0,1
"Light It Up","Young Thug",82,82,0,1
"Juicy","Doja Cat & Tyga",83,83,0,1
"Lil Baby","Young Thug",84,84,0,1
"Mac 10","Trippie Redd Featuring Lil Baby & Lil Duke",89,64,64,2
"Some Of It","Eric Church",91,43,74,13
