options,29
north,29
myself,29
mud,29
mothafuckin,29
mil,29
message,29
mac,29
loving,29
just,29
happen,29
gen,29
felt,29
favorite,29
dollar,29
devil,29
child,29
boots,29
blowin,29
anywhere,29
admit,29
administration,29
yayaee,28
wipe,28
wind,28
whippin,28
vibe,28
uhuh,28
tyga,28
takin,28
switch,28
stars,28
spot,28
sip,28
shake,28
ross,28
rica,28
respond,28
pack,28
nowhere,28
likely,28
lift,28
lanez,28
land,28
kick,28
khalid,28
joey,28
human,28
history,28
hang,28
flow,28
fill,28
february,28
ey,28
disco,28
debate,28
cup,28
cross,28
choppa,28
callin,28
called,28
bow,28
wear,27
vote,27
vibes,27
trip,27
ton,27
tomorrow,27
tecca,27
team,27
taste,27
soy,27
ski,27
same,27
rings,27
response,27
poppin,27
pass,27
others,27
opps,27
offset,27
molly,27
mike,27
memories,27
mate,27
march,27
l,27
hours,27
hoodie,27
heartbreak,27
hace,27
grow,27
grave,27
goal,27
glass,27
games,27
forgot,27
fear,27
estado,27
drippin,27
degrade,27
course,27
costa,27
bigger,27
alive,27
yup,26
wuh,26
woulda,26
worst,26
wide,26
ways,26
van,26
v,26
toes,26
tengo,26
speak,26
snitch,26
shoes,26
shark,26
rip,26
quick,26
pum,26
price,26
police,26
plan,26
nicki,26
nadie,26
moves,26
men,26
machine,26
lay,26
jr,26
jam,26
internet,26
interests,26
higher,26
happens,26
freak,26
date,26
cost,26
band,26
apart,26
where,25
whack,25
uzi,25
terror,25
syrian,25
spin,25
rocks,25
record,25
private,25
paradise,25
numb,25
months,25
member,25
mccain,25
lover,25
leavin,25
jordan,25
jeans,25
ich,25
het,25
grab,25
faith,25
east,25
dope,25
doors,25
dog,25
chilly,25
can,25
breathe,25
bless,25
benz,25
acting,25
ybn,24
watchin,24
vert,24
troops,24
tongue,24
tight,24
test,24
sweat,24
storm,24
solo,24
slim,24
questions,24
pump,24
pocket,24
person,24
nicky,24
nasty,24
movin,24
moon,24
hunnid,24
hasta,24
ghost,24
friday,24
fresh,24
fault,24
famous,24
family,24
fallin,24
ex,24
easier,24
darling,24
cur,24
consequences,24
carry,24
calm,24
breaks,24
born,24
ballin,24
baguettes,24
و,23
whiskey,23
wet,23
tryin,23
tip,23
takes,23
strangers,23
slump,23
slatt,23
sex,23
seem,23
russia,23
reasons,23
quavo,23
qu,23
pure,23
pulled,23
proud,23
popped,23
pluto,23
nos,23
nle,23
mustard,23
ms,23
motherfuckin,23
minaj,23
martin,23
liar,23
lean,23
lady,23
known,23
kitchen,23
keepin,23
johnson,23
issue,23
israel,23
if,23
harder,23
happened,23
grew,23
greater,23
follow,23
fit,23
fan,23
evidence,23
everyone,23
empty,23
drinks,23
died,23
decide,23
cop,23
cole,23
clean,23
by,23
business,23
brother,23
bang,23
authority,23
asked,23
anyone,23
able,23
ability,23
weekend,22
watching,22
walkin,22
trouble,22
travis,22
they,22
tego,22
sé,22
strings,22
strike,22
rs,22
rocky,22
rico,22
quality,22
playing,22
played,22
pink,22
paint,22
nas,22
nails,22
mix,22
mess,22
meant,22
los,22
lack,22
justin,22
jack,22
issues,22
including,22
gods,22
fore,22
focus,22
evil,22
está,22
eso,22
dying,22
drama,22
doubt,22
daughter,22
community,22
clothes,22
checked,22
bus,22
boom,22
bomb,22
billie,22
balvin,22
ago,22
about,22
zei,21
write,21
workin,21
uno,21
terms,21
talked,21
stranger,21
southbound,21
slowly,21
sing,21
silence,21
second,21
scott,21
rise,21
rick,21
riches,21
releases,21
raw,21
pretend,21
prayin,21
plenty,21
plans,21
paper,21
once,21
needs,21
madonna,21
lotta,21
lock,21
lines,21
learn,21
killing,21
killed,21
key,21
it’s,21
itll,21
ist,21
instead,21
hopped,21
grace,21
french,21
dropped,21
dollars,21
dice,21
deter,21
crushed,21
crib,21
conversation,21
conmigo,21
boat,21
birds,21
become,21
beb,21
baow,21
attached,21
appreciate,21
anitta,21
yeaheheh,20
wiz,20
wine,20
wheezy,20
tyler,20
truck,20
taylor,20
supposed,20
sign,20
sean,20
saturday,20
sabrina,20
patek,20
opportunity,20
news,20
mission,20
members,20
lizzo,20
khalifa,20
jon,20
involved,20
ima,20
hundreds,20
homie,20
have,20
hangin,20
given,20
flip,20
fame,20
eres,20
eheh,20
drug,20
drank,20
designer,20
deeper,20
codeine,20
children,20
chcesz,20
charlotte,20
but,20
burning,20
brick,20
breath,20
beginning,20
aw,20
alles,20
album,20
yg,19
wraith,19
whos,19
vision,19
una,19
trippie,19
totally,19
through,19
tequila,19
table,19
su,19
sippin,19
september,19
screamin,19
sand,19
roof,19
rollin,19
risk,19
redd,19
records,19
quit,19
quarter,19
presidents,19
peace,19
pablo,19
neon,19
moving,19
maar,19
level,19
lee,19
leaving,19
lambo,19
khaled,19
kelly,19
jones,19
interest,19
idea,19
honey,19
hearts,19
hearing,19
hay,19
government,19
glock,19
giving,19
georgia,19
fue,19
from,19
fendi,19
enemigos,19
enemies,19
difference,19
dan,19
cover,19
clock,19
civilians,19
chill,19
chest,19
camino,19
burns,19
brazy,19
border,19
berqueren,19
beer,19
angels,19
along,19
add,19
yuh,18
worried,18
vida,18
und,18
tune,18
tove,18
tiempo,18
throwin,18
thoughts,18
third,18
thick,18
tap,18
taken,18
sí,18
sunrise,18
suck,18
stated,18
sounds,18
smokin,18
shotta,18
sea,18
ray,18
quiero,18
pistol,18
ok,18
none,18
mnie,18
mirror,18
mars,18
mark,18
marina,18
loose,18
locked,18
leaves,18
least,18
lead,18
law,18
kevin,18
jessie,18
impact,18
ii,18
hezbollah,18
handle,18
grandma,18
goals,18
glasses,18
freedom,18
forces,18
flyin,18
finish,18
este,18
erase,18
emporter,18
either,18
een,18
drown,18
did,18
demons,18
damage,18
crash,18
crack,18
contigo,18
classified,18
civil,18
cars,18
candy,18
bunny,18
bullets,18
bottle,18
before,18
baila,18
attitude,18
amor,18
almost,18
actually,18
actions,18
yellow,17
written,17
woke,17
wife,17
whenever,17
what’s,17
wed,17
walker,17
voice,17
version,17
ver,17
using,17
unlike,17
tú,17
twin,17
tjay,17
tiene,17
threat,17
th,17
text,17
tear,17
sunday,17
sucker,17
stefflon,17
standing,17
soltera,17
snow,17
sittin,17
singing,17
shower,17
shell,17
sell,17
scene,17
replace,17
pour,17
pose,17
pills,17
pal,17
ozuna,17
order,17
numbers,17
notice,17
near,17
nav,17
mhmmhm,17
mass,17
mami,17
major,17
list,17
laugh,17
korea,17
killers,17
jumped,17
job,17
horse,17
holding,17
hittin,17
havin,17
hatin,17
haha,17
guarantee,17
faded,17
fade,17
everywhere,17
enemy,17
dyin,17
dust,17
dad,17
cyrus,17
countries,17
calls,17
caer,17
brr,17
brought,17
broad,17
bottles,17
bones,17
bentley,17
arm,17
xcx,16
wrote,16
women,16
wayne,16
trappin,16
tiller,16
swift,16
sugar,16
stone,16
statement,16
startin,16
sos,16
sonta,16
smith,16
smell,16
signs,16
signed,16
short,16
sheets,16
secret,16
scars,16
rum,16
princess,16
poompoom,16
plus,16
plug,16
planet,16
plane,16
ouaisouais,16
ohohoh,16
october,16
nobodys,16
nie,16
ngboy,16
natural,16
nation,16
naseptember,16
muy,16
mansion,16
looks,16
lewis,16
legs,16
keys,16
information,16
hour,16
hole,16
hill,16
hanson,16
guys,16
guns,16
golden,16
gate,16
funny,16
fraud,16
flex,16
flame,16
finger,16
farruko,16
ese,16
era,16
ends,16
effort,16
dude,16
dos,16
dirt,16
dawgs,16
d,16
cutthroat,16
cornelia,16
conflict,16
college,16
co,16
class,16
chopper,16
charli,16
changed,16
chains,16
carpenter,16
carlie,16
calculation,16
buddy,16
bryson,16
brratatata,16
bounce,16
blind,16
bird,16
bin,16
biggest,16
bas,16
babies,16
assessment,16
advance,16
که,15
yachty,15
within,15
wissen,15
wishing,15
winter,15
weapon,15
video,15
ve,15
upon,15
underneath,15
turnin,15
tres,15
thouxanbanfauni,15
thotiana,15
tee,15
swag,15
swae,15
strategy,15
store,15
stole,15
sticks,15
snake,15
smokepurpp,15
skies,15
sitting,15
sight,15
shoulders,15
shits,15
shame,15
serious,15
scream,15
says,15
sabe,15
rolling,15
re,15
range,15
rae,15
radio,15
quite,15
public,15
produced,15
plate,15
oohooh,15
only,15
novio,15
mornin,15
missin,15
millions,15
miller,15
mile,15
miami,15
meeting,15
max,15
maluma,15
luke,15
lucky,15
losing,15
lauv,15
language,15
knockin,15
knees,15
juan,15
jonas,15
ja,15
hurrah,15
hoodrich,15
honkytonk,15
happier,15
freestyle,15
focused,15
float,15
fighting,15
fifty,15
fell,15
fat,15
false,15
eye,15
everyday,15
ep,15
energy,15
eilish,15
dreamville,15
dile,15
dancin,15
cryin,15
creator,15
couldve,15
closed,15
chica,15
checks,15
calma,15
brand,15
bottom,15
bored,15
bone,15
bodies,15
birthday,15
beef,15
bebe,15
beast,15
beach,15
bandit,15
bae,15
attacks,15
anuel,15
amiga,15
am,15
ad,15
across,15
acoustic,15
’re,14
zone,14
yankee,14
xxxtentacion,14
wrld,14
wondering,14
willing,14
weed,14
walking,14
voc,14
vas,14
various,14
vain,14
twostep,14
twenty,14
tough,14
tom,14
theyve,14
then,14
stronger,14
st,14
spirit,14
somewhere,14
solía,14
smoking,14
slap,14
situation,14
silent,14
shy,14
session,14
sent,14
senate,14
sellin,14
sam,14
salt,14
ryan,14
rush,14
rules,14
roses,14
rolls,14
rod,14
rockstar,14
riding,14
richard,14
reyez,14
rari,14
pressure,14
pants,14
orange,14
oohah,14
nudy,14
nipsey,14
nations,14
nacho,14
mom,14
moderate,14
mixed,14
millionaire,14
milli,14
michaels,14
mic,14
maybach,14
match,14
markey,14
mans,14
maldy,14
madeintyo,14
lyin,14
leon,14
lemme,14
lawyer,14
kissed,14
keith,14
kanye,14
julia,14
jeremih,14
jane,14
jail,14
jade,14
ion,14
innocence,14
inaudible,14
hurry,14
hrs,14
hotel,14
heavens,14
haters,14
haan,14
gotti,14
goddamn,14
global,14
glad,14
forbes,14
fingers,14
field,14
fam,14
f,14
everythings,14
dreamin,14
drag,14
dogs,14
destruction,14
definition,14
cuz,14
cuts,14
cum,14
crew,14
cordae,14
conoce,14
chances,14
bucks,14
bricks,14
bop,14
birkin,14
bieber,14
bhad,14
bhabie,14
beyond,14
becky,14
bebecita,14
bazzi,14
ay,14
así,14
army,14
anymore,14
alma,14
al,14
ain’t,14
afford,14
aa,14
ما,13
خوشگل,13
yeahyeah,13
xan,13
wrap,13
worship,13
worry,13
woh,13
will,13
wherever,13
wes,13
weak,13
wale,13
verse,13
udall,13
twice,13
train,13
trade,13
toss,13
theyll,13
thanks,13
testimony,13
teeth,13
swervin,13
surprise,13
steve,13
steady,13
starting,13
specific,13
somehow,13
sleeping,13
singin,13
shorty,13
shootin,13
shirt,13
shift,13
she,13
share,13
seven,13
self,13
seconds,13
sack,13
roddy,13
rexha,13
responsibility,13
repeat,13
reeves,13
rappin,13
raise,13
qué,13
puttin,13
proof,13
process,13
prayed,13
policy,13
pole,13
pockets,13
pipe,13
pimp,13
pieces,13
paris,13
original,13
opp,13
onto,13
ode,13
nooh,13
nervous,13
namay,13
mí,13
movie,13
month,13
moda,13
mere,13
memory,13
marshmello,13
mal,13
makeup,13
lunay,13
lovers,13
lives,13
learned,13
kiiara,13
joke,13
hoppin,13
honestly,13
heavy,13
he,13
hall,13
grip,13
grey,13
givin,13
flying,13
flew,13
fallen,13
esta,13
entera,13
dub,13
doll,13
disappear,13
difficult,13
dex,13
degrading,13
defined,13
defense,13
dedication,13
darlin,13
daily,13
current,13
crowd,13
